population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctUnemployed,PctEmploy,murdPerPop,rapesPerPop,robbbPerPop,assaultPerPop,burglPerPop,larcPerPop,autoTheftPerPop,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop,communityname,state
40641.0,2.54,12.18,86.39,1.12,0.68,21.51,36.83,23.96,11.5,0.0,0.0,20043.0,75.23,1.24,34.02,27.11,9.6,13.84,27655.0,11760.0,8759.0,23.91,15.28,28.52,6.93,58.62,6.54,78.53,126.52,586.8,1269.58,3895.99,322.85,19.63,798.39,5508.05,BowlingGreencity,KY
57140.0,2.74,53.52,45.65,0.49,0.43,16.51,28.17,14.68,13.38,57140.0,100.0,19143.0,69.31,0.63,24.41,33.46,13.58,14.16,24442.0,9530.0,15283.0,27.71,14.49,34.5,11.05,51.37,27.26,100.51,444.61,904.55,2987.92,3424.02,880.7,78.36,1476.93,7371.0,PineBluffcity,AR
13132.0,2.53,0.06,99.21,0.47,0.59,14.0,25.03,12.83,14.57,0.0,0.0,25797.0,73.95,2.53,56.06,34.35,6.6,12.89,32055.0,11907.0,863.0,6.84,16.28,25.41,3.67,65.62,0.0,,0.0,65.82,489.98,2069.62,153.58,7.31,,2720.49,NewUlmcity,MN
30954.0,2.69,2.52,94.39,2.03,1.55,12.07,25.43,11.42,10.45,30954.0,100.0,37856.0,82.29,0.89,51.08,23.45,4.87,16.45,43154.0,16459.0,1874.0,6.22,4.4,14.64,4.17,68.12,0.0,,79.7,109.22,667.12,4776.1,469.34,20.66,,5933.23,Maplewoodcity,MN
45532.0,2.85,2.65,95.72,1.04,2.28,11.86,27.51,12.36,9.76,43944.0,96.51,44635.0,84.94,0.71,50.24,24.74,3.78,18.37,48757.0,16723.0,1262.0,2.89,6.55,21.62,4.01,68.24,2.19,0.0,50.46,37.29,618.62,1987.5,508.94,15.36,89.94,3130.42,Enfieldtown,CT
180038.0,2.62,1.3,74.02,14.14,20.96,12.04,26.68,12.37,11.54,180038.0,100.0,34372.0,76.17,0.62,40.04,20.3,11.27,11.51,39652.0,17966.0,25484.0,14.37,11.54,22.83,6.95,60.04,5.02,16.72,197.91,154.42,889.74,2509.23,806.68,40.7,374.07,4246.34,Glendalecity,CA
14869.0,2.67,2.28,94.74,2.67,0.74,13.71,20.33,9.48,12.38,14882.0,100.0,49851.0,81.88,0.89,69.45,23.77,1.59,19.47,58871.0,22647.0,340.0,2.35,1.33,5.95,2.57,66.85,0.0,13.24,66.18,33.09,655.15,2739.73,119.12,26.47,112.5,3540.47,Worthingtoncity,OH
261721.0,2.6,8.41,82.64,3.92,8.91,14.18,32.78,15.14,4.58,261763.0,100.0,35048.0,90.25,0.81,39.01,11.05,2.71,9.12,41620.0,16239.0,21272.0,8.21,3.71,12.19,4.99,74.65,2.39,49.94,242.88,477.55,1360.48,3938.78,838.8,33.18,772.77,6171.23,Arlingtoncity,TX
50889.0,2.77,1.61,95.66,2.04,1.02,13.13,26.94,12.19,4.77,50889.0,100.0,51314.0,92.25,1.19,58.68,11.08,2.41,7.95,59421.0,21908.0,1681.0,3.36,1.57,5.56,3.24,78.05,0.0,,21.41,90.6,446.39,2418.09,164.72,102.13,,3131.33,Plymouthcity,MN
7322564.0,2.6,28.71,52.26,7.0,24.36,13.06,27.46,13.09,11.62,7322564.0,100.0,29823.0,73.57,0.48,35.38,24.6,13.12,12.56,34360.0,16281.0,1384994.0,19.29,14.1,31.68,8.98,56.12,26.59,38.5,1174.95,857.68,1355.37,3212.39,1536.49,60.7,2097.71,6164.95,NewYorkcity,NY
26436.0,3.34,18.97,53.6,20.84,10.73,16.16,37.22,19.09,4.13,26436.0,100.0,29043.0,90.39,0.53,28.69,10.74,6.9,15.99,28870.0,11338.0,2328.0,9.67,5.8,15.83,3.5,75.2,12.89,58.03,270.79,303.03,1457.12,3526.76,322.37,32.24,644.75,5338.49,Marinacity,CA
12183.0,2.36,0.41,97.55,1.55,0.91,11.29,26.87,12.2,11.28,0.0,0.0,32221.0,84.63,0.51,38.36,23.87,3.37,10.47,40745.0,15012.0,728.0,6.07,5.83,17.61,3.14,69.56,0.0,8.07,0.0,137.13,516.25,4694.68,217.79,32.27,145.2,5461.0,Lebanoncity,NH
16023.0,2.63,13.79,83.94,1.42,2.4,11.91,23.09,10.33,13.65,16023.0,100.0,34934.0,80.47,0.3,47.11,27.98,2.74,23.43,39691.0,15534.0,904.0,5.75,4.07,14.21,5.39,64.92,0.0,55.52,105.48,399.71,1254.65,4002.66,349.75,11.1,560.71,5618.16,Rockledgecity,FL
24692.0,2.54,0.06,97.72,0.77,1.86,12.84,25.81,11.93,14.62,0.0,0.0,26198.0,73.97,1.36,42.1,31.04,3.92,16.09,31007.0,12779.0,2120.0,8.72,8.18,22.43,3.31,63.1,0.0,29.18,32.42,142.64,755.34,3938.79,155.61,19.45,204.23,4869.19,Rogerscity,AR
13842.0,2.35,0.41,94.65,1.98,7.95,8.23,18.3,6.98,13.57,13842.0,100.0,45892.0,80.46,1.07,65.77,25.19,0.73,15.55,53342.0,24462.0,460.0,3.33,2.73,7.59,2.69,70.55,6.69,13.38,160.6,167.29,997.06,2388.92,301.12,6.69,347.97,3693.79,Bellairecity,TX
88693.0,2.7,2.92,87.36,2.82,13.97,13.77,30.92,15.15,9.65,88693.0,100.0,28108.0,78.15,0.53,34.68,21.99,12.74,16.03,32096.0,13518.0,11184.0,12.92,6.71,21.49,7.07,61.86,8.59,45.1,260.94,579.87,1469.01,4634.68,954.64,33.29,894.51,7091.62,ElCajoncity,CA
11235.0,2.6,1.89,82.45,1.82,18.16,14.59,25.62,12.02,13.36,0.0,0.0,23258.0,72.45,1.78,34.4,27.62,10.28,16.58,28495.0,10965.0,1680.0,15.28,12.99,26.49,6.5,57.18,14.57,145.72,21.86,961.75,1581.06,7103.83,400.73,58.29,1143.9,9143.9,MosesLakecity,WA
28259.0,2.86,42.15,56.94,0.52,0.5,16.26,28.79,13.83,9.53,28259.0,100.0,22052.0,77.25,1.32,21.89,25.09,13.69,9.35,27523.0,10009.0,6410.0,22.94,15.88,37.55,8.34,59.29,25.12,86.13,434.25,179.44,707.01,2860.32,854.15,0.0,724.95,4421.48,WestMemphiscity,AR
11162.0,2.8,26.96,72.26,0.4,0.78,15.43,26.03,12.04,12.78,0.0,0.0,14874.0,62.83,0.8,20.56,33.58,18.81,11.52,19434.0,7635.0,4173.0,38.27,23.94,44.84,13.93,42.8,0.0,17.4,78.28,1391.67,1852.66,2583.28,278.33,8.7,1487.34,4722.97,Eunicecity,LA
122899.0,3.84,0.12,70.83,0.38,93.87,19.93,33.12,16.79,7.32,122899.0,100.0,18395.0,79.18,1.17,18.24,22.73,16.71,7.95,19910.0,6981.0,45126.0,37.29,36.26,51.16,11.24,51.36,13.75,4.58,106.72,564.37,1126.13,4089.41,680.91,52.38,689.42,5948.83,Laredocity,TX
20714.0,2.36,1.46,93.15,0.56,11.61,11.35,23.13,11.19,21.15,0.0,0.0,22166.0,65.0,0.32,47.13,43.79,7.08,21.6,29893.0,11991.0,2756.0,13.5,12.54,31.33,8.97,52.65,0.0,14.98,14.98,19.97,639.11,1567.81,84.88,,49.93,,Amsterdamcity,NY
11856.0,3.03,0.37,98.84,0.4,0.45,20.11,31.45,19.01,8.63,3929.0,33.1,36618.0,83.22,1.2,51.29,22.01,4.56,14.76,40809.0,14049.0,436.0,4.05,3.9,13.97,5.73,67.68,0.0,0.0,0.0,16.72,284.28,568.56,66.89,0.0,16.72,919.73,Gorhamtown,ME
19050.0,2.67,1.17,94.31,0.96,7.46,15.43,26.48,11.73,8.64,0.0,0.0,34372.0,83.58,1.11,40.93,20.87,5.74,12.84,41095.0,14767.0,1661.0,8.87,5.6,17.5,5.13,67.09,4.92,68.92,29.54,546.45,1048.59,4342.05,374.14,0.0,649.83,5764.78,RockSpringscity,WY
11961.0,2.71,0.24,88.57,1.11,17.04,13.37,26.84,13.03,12.98,0.0,0.0,27230.0,73.45,1.88,33.34,28.75,13.22,18.4,30357.0,11994.0,1486.0,12.63,12.32,30.95,10.34,54.22,0.0,28.91,50.6,267.46,1163.8,3628.74,368.66,93.97,346.97,5255.17,Oakdalecity,CA
15655.0,2.6,52.88,46.59,0.19,0.54,14.42,26.09,12.94,15.02,0.0,0.0,18499.0,75.0,0.69,24.1,34.68,13.17,14.45,21753.0,10912.0,3699.0,24.07,21.8,43.91,7.91,57.23,36.77,18.38,447.33,1268.46,3848.28,6893.8,625.04,61.28,1770.94,11428.4,Hendersoncity,NC
23302.0,4.17,7.95,82.42,1.36,19.55,14.06,30.74,14.58,4.44,23302.0,100.0,51594.0,88.74,2.55,38.24,17.3,5.92,12.75,52659.0,15142.0,973.0,5.34,4.93,24.25,5.1,48.14,4.04,16.15,117.11,472.5,1126.73,2237.3,1033.84,60.58,609.81,4458.44,Norcocity,CA
45226.0,2.95,59.63,39.76,0.43,0.56,17.15,28.12,13.63,10.96,0.0,0.0,18060.0,71.26,0.58,20.33,30.07,18.48,11.31,23068.0,9081.0,14232.0,31.96,18.51,38.54,12.45,51.79,35.96,76.4,148.31,298.88,3921.35,5912.36,417.98,128.09,559.55,10379.78,Greenvillecity,MS
26167.0,2.37,0.94,91.3,6.07,6.46,9.03,19.36,8.48,14.25,26167.0,100.0,54658.0,77.85,0.52,62.49,25.65,2.52,18.84,63337.0,28161.0,713.0,2.73,2.43,8.38,2.43,69.33,3.54,3.54,85.06,113.41,542.25,2076.84,191.38,0.0,205.56,2810.46,SanCarloscity,CA
84474.0,2.76,4.8,78.81,1.14,27.99,16.42,29.95,16.25,11.57,84474.0,100.0,23534.0,76.93,2.24,37.05,27.01,6.25,14.14,27832.0,11353.0,14737.0,18.5,14.84,29.08,7.71,61.16,8.85,47.57,43.14,412.63,931.46,3687.11,192.49,,512.19,,SanAngelocity,TX
27623.0,2.49,5.26,94.08,0.29,0.33,13.24,25.31,12.11,15.24,27623.0,100.0,21688.0,67.14,0.47,36.17,35.91,12.39,24.38,26443.0,10366.0,4626.0,16.93,8.47,31.19,8.67,51.76,0.0,25.08,78.84,630.69,738.19,3547.62,318.93,68.09,734.61,4672.83,Barbertoncity,OH
71166.0,2.87,42.2,51.25,1.36,8.01,16.56,32.21,16.08,7.82,71166.0,100.0,21962.0,72.63,0.11,20.23,23.85,22.07,16.66,25834.0,9847.0,18222.0,26.67,12.04,37.61,14.4,51.07,27.27,,607.12,2038.09,2109.86,2818.88,1254.43,86.12,,6269.29,Pontiaccity,MI
52141.0,2.82,44.58,54.68,0.38,0.61,13.7,25.39,11.57,11.94,39076.0,74.94,26125.0,75.62,1.98,29.04,28.99,10.49,18.76,31379.0,11831.0,8864.0,17.28,17.59,36.09,7.06,57.9,16.22,66.7,288.42,547.99,1164.49,3558.36,457.86,46.87,919.33,5227.58,Suffolkcity,VA
16162.0,2.36,36.84,62.7,0.2,0.37,12.16,22.94,10.7,17.94,0.0,0.0,22446.0,70.6,0.51,35.91,36.51,8.64,16.7,29604.0,13742.0,2504.0,15.61,18.52,37.05,5.68,57.4,12.52,43.81,137.7,488.2,1026.48,6133.82,337.99,56.33,682.23,7554.61,Martinsvillecity,VA
66473.0,2.66,0.63,97.81,0.83,2.58,12.06,23.58,10.75,15.97,66473.0,100.0,38742.0,73.79,0.39,48.04,34.09,3.6,22.5,44680.0,16523.0,2470.0,3.74,5.59,20.23,5.55,60.08,2.92,13.15,40.9,74.5,606.2,1773.32,143.15,20.45,131.47,2543.13,Bricktownship,NJ
23170.0,2.09,0.7,95.77,1.74,6.86,8.08,20.23,9.15,12.36,23170.0,100.0,53419.0,75.85,1.49,57.16,19.88,2.75,13.14,70219.0,40537.0,1411.0,6.14,2.39,5.87,1.84,72.93,0.0,20.8,91.5,682.11,1713.6,3635.15,578.13,12.48,794.41,5939.36,LagunaBeachcity,CA
12849.0,3.59,1.85,62.03,0.19,91.07,18.8,30.03,14.87,10.44,0.0,0.0,16180.0,69.32,1.59,13.09,32.32,24.32,9.2,18788.0,5740.0,4767.0,37.04,42.31,61.8,12.26,44.19,7.38,7.38,22.15,383.99,2230.1,2392.56,413.53,59.08,420.91,5095.26,Robstowncity,TX
63891.0,2.64,2.72,93.52,1.49,3.5,13.2,30.39,13.67,9.04,63891.0,100.0,31103.0,84.33,0.45,41.08,21.77,4.69,13.42,35161.0,13271.0,4498.0,7.07,6.7,21.43,5.13,70.23,1.55,,180.07,377.21,970.18,3469.37,409.8,20.18,,4869.53,Wyomingcity,MI
15440.0,2.86,0.31,98.63,0.64,0.49,13.92,27.4,12.29,8.39,0.0,0.0,36091.0,84.9,0.81,47.33,22.69,3.41,12.51,41312.0,14482.0,746.0,5.0,7.84,18.63,5.18,69.13,0.0,,12.1,96.82,726.17,2232.98,242.06,6.05,,3207.26,Hastingscity,MN
18540.0,2.49,0.09,99.39,0.18,0.51,14.13,25.52,12.37,15.18,0.0,0.0,19985.0,69.56,1.62,33.14,34.55,8.77,12.6,24252.0,10444.0,3398.0,18.82,20.78,39.87,7.01,55.48,4.65,41.81,9.29,37.16,622.47,2331.96,162.59,4.65,92.91,3121.66,Paragouldcity,AR
31971.0,2.2,1.7,91.28,5.46,5.4,11.38,22.12,10.53,17.88,31971.0,100.0,54348.0,73.0,0.56,55.83,28.0,3.47,9.02,83272.0,55463.0,2105.0,6.6,3.6,10.57,3.8,60.76,3.0,24.03,843.97,216.25,1417.63,5271.06,663.76,42.05,1087.25,7394.5,BeverlyHillscity,CA
14790.0,2.87,16.34,81.75,1.53,1.0,20.62,30.27,20.39,14.02,14790.0,100.0,43376.0,76.55,0.61,65.12,33.47,2.47,12.64,51327.0,18705.0,373.0,2.9,3.26,9.16,4.65,60.44,0.0,13.97,97.77,125.71,432.99,1298.97,216.5,0.0,237.45,1948.46,UniversityHeightscity,OH
34075.0,2.59,4.22,94.72,0.45,0.85,14.23,26.63,12.85,11.68,0.0,0.0,22439.0,72.65,0.66,31.66,30.89,12.41,16.99,27049.0,10365.0,5667.0,16.85,9.68,30.32,10.98,55.48,2.88,46.03,106.44,57.53,1688.58,4409.86,296.29,8.63,212.87,6403.36,Marioncity,OH
332943.0,2.54,19.7,76.96,1.05,3.97,14.78,28.65,14.52,12.25,332943.0,100.0,24819.0,71.86,0.36,36.37,28.93,12.29,18.44,30980.0,11894.0,62426.0,19.09,8.57,26.84,9.92,55.56,13.89,110.19,492.02,368.86,1698.29,4707.51,1394.26,110.19,984.96,7910.25,Toledocity,OH
1585577.0,2.63,39.86,53.52,2.74,5.63,13.92,28.02,14.12,13.74,1585577.0,100.0,24603.0,70.12,0.35,32.15,31.63,13.98,18.2,30140.0,12091.0,313374.0,20.27,11.29,35.69,9.62,52.77,28.7,51.31,753.74,445.86,988.14,2561.1,1554.73,149.17,1279.6,5253.14,Philadelphiacity,PA
82585.0,2.8,2.08,92.78,4.55,1.98,14.34,28.52,15.99,12.95,82585.0,100.0,59719.0,81.14,0.99,66.23,25.85,2.91,14.43,70071.0,28840.0,3335.0,4.33,3.72,8.34,3.94,67.36,1.17,12.82,31.46,210.9,558.12,1709.31,288.96,0.0,256.34,2556.39,Newtoncity,MA
29721.0,2.34,3.52,95.13,1.03,1.7,10.52,18.8,9.27,22.59,29721.0,100.0,32704.0,64.97,0.48,54.7,41.16,4.52,26.5,37695.0,18875.0,1977.0,6.72,4.72,15.77,4.21,51.11,0.0,31.02,74.45,37.23,908.95,2940.9,241.97,0.0,142.7,4091.83,OrmondBeachcity,FL
66049.0,2.63,26.41,72.45,0.76,0.72,17.79,29.84,18.19,14.33,66049.0,100.0,23726.0,72.25,0.63,39.06,35.02,7.54,17.2,30141.0,12657.0,9889.0,16.45,13.61,30.52,5.97,56.27,4.47,67.0,159.32,522.63,833.83,3448.48,273.97,74.45,753.42,4630.73,Lynchburgcity,VA
21847.0,2.92,17.14,81.71,0.92,0.48,17.83,30.86,16.52,7.45,21847.0,100.0,36770.0,87.63,1.0,42.8,18.35,3.8,14.75,42144.0,14677.0,1974.0,9.48,4.37,13.22,3.37,70.5,8.76,0.0,61.34,52.58,740.51,1906.06,52.58,21.91,122.69,2721.06,Clintoncity,MS
26184.0,2.49,34.26,65.09,0.31,0.53,14.9,26.78,14.23,17.55,26184.0,100.0,19433.0,70.39,0.44,31.57,39.05,8.88,15.8,25523.0,10866.0,4922.0,19.89,18.33,37.36,7.46,54.48,26.85,50.34,449.74,1322.37,1906.36,4098.0,459.81,10.07,1849.3,6474.24,Andersoncity,SC
101484.0,2.83,5.83,87.21,2.63,8.77,14.14,28.92,12.52,4.73,101484.0,100.0,35934.0,89.64,0.85,34.13,13.22,4.08,9.17,40198.0,14115.0,7771.0,7.73,5.36,18.76,4.74,74.16,4.32,28.5,118.34,415.48,,4475.25,657.34,80.33,566.64,,Mesquitecity,TX
24656.0,2.7,24.63,73.0,1.13,3.12,13.67,26.55,11.62,9.97,24656.0,100.0,36995.0,84.91,0.36,42.77,22.53,4.16,14.99,41144.0,14756.0,1174.0,4.89,5.02,13.06,4.94,67.87,7.89,,98.58,118.29,488.94,2062.22,445.57,15.77,,3012.5,ParkForestvillage,IL
12727.0,2.49,0.11,99.03,0.34,0.34,11.95,25.43,11.89,14.93,12727.0,100.0,23056.0,70.18,0.63,49.72,33.86,8.75,17.21,30546.0,11034.0,1323.0,11.12,15.8,25.73,6.85,55.78,0.0,14.83,7.42,29.66,370.81,2862.65,111.24,29.66,51.91,3374.37,ChippewaFallscity,WI
33626.0,2.88,0.92,96.35,2.34,1.02,14.91,23.52,11.5,8.14,33626.0,100.0,49143.0,88.07,0.99,64.0,17.53,1.98,21.15,52531.0,18362.0,1165.0,3.51,3.8,11.01,3.13,69.01,0.0,7.91,52.76,34.3,527.63,2717.32,184.67,68.59,94.97,3498.22,Beavercreekcity,OH
22430.0,2.67,0.28,98.83,0.59,0.59,19.96,32.9,21.18,12.62,0.0,0.0,31235.0,79.04,0.93,51.45,28.59,4.67,16.39,38391.0,14246.0,1632.0,8.06,6.21,16.34,6.42,63.92,0.0,102.18,17.77,302.1,688.61,3709.63,106.62,62.2,422.05,4567.06,Keenecity,NH
13352.0,2.82,2.55,97.01,0.28,0.36,13.91,21.82,10.96,14.84,9827.0,73.6,32713.0,73.7,1.76,46.04,32.15,5.23,24.43,36199.0,14243.0,1116.0,8.79,8.16,25.83,5.41,55.46,0.0,37.91,96.04,318.45,818.86,2446.48,90.98,32.86,452.4,3389.19,Springfieldtownship,OH
10637.0,2.16,9.69,89.52,0.51,0.75,9.99,23.83,10.25,18.45,10637.0,100.0,23773.0,69.21,0.0,43.75,35.02,8.65,19.7,26537.0,13164.0,1322.0,12.53,9.07,21.74,6.62,55.31,18.94,47.34,170.42,170.42,615.41,1893.58,1145.62,85.21,407.12,3739.82,Swissvaleborough,PA
165121.0,2.36,15.78,82.73,1.04,0.67,16.31,32.25,18.75,13.77,165121.0,100.0,19923.0,72.35,0.54,34.7,30.68,9.69,15.24,26131.0,12108.0,32189.0,20.8,12.59,29.21,7.11,55.4,8.14,59.32,346.59,1279.37,1638.17,3504.88,935.68,100.6,1693.42,6179.34,Knoxvillecity,TN
10836.0,2.28,5.59,92.94,0.58,1.49,12.64,32.02,15.39,9.09,0.0,0.0,25649.0,84.51,0.9,30.14,19.2,2.24,7.63,32919.0,13997.0,903.0,8.46,11.55,25.51,5.99,71.82,7.46,7.46,126.74,320.58,1118.32,4518.0,313.13,7.46,462.24,5956.91,Kernersvilletown,NC
86335.0,2.5,1.61,94.71,3.09,0.93,11.69,26.55,12.21,9.12,86335.0,100.0,41736.0,86.85,0.99,56.86,19.95,2.63,14.41,48608.0,20032.0,3154.0,3.7,2.51,8.76,3.28,74.28,4.65,,75.59,119.79,831.52,4254.13,484.96,,,,Bloomingtoncity,MN
21160.0,2.79,11.1,83.79,4.57,2.83,11.38,23.62,10.91,12.65,21160.0,100.0,58194.0,85.08,1.75,64.95,24.94,2.35,16.17,64920.0,27093.0,313.0,1.49,4.57,12.02,3.75,67.53,4.61,13.82,55.27,41.45,469.79,1271.19,409.91,9.21,115.14,2160.1,ScotchPlainstownship,NJ
29208.0,2.6,1.41,96.54,1.4,2.1,11.37,23.38,11.09,15.64,29208.0,100.0,45481.0,82.11,0.33,60.89,31.36,2.87,21.71,50916.0,19668.0,513.0,1.79,8.71,20.02,3.44,67.54,0.0,13.68,10.26,54.72,492.44,2681.08,376.17,3.42,78.65,3553.11,Newingtontown,CT
12839.0,2.46,7.24,91.65,0.54,0.86,14.38,25.65,12.85,16.85,0.0,0.0,20569.0,68.59,2.14,40.02,36.52,6.53,12.22,26654.0,10475.0,2257.0,18.27,14.83,31.36,8.52,54.24,7.88,63.04,39.4,874.7,740.74,3853.43,165.48,7.88,985.03,4767.53,Moberlycity,MO
75058.0,3.86,0.19,97.05,1.69,2.54,19.8,28.26,11.74,3.14,75058.0,100.0,43971.0,90.62,0.85,45.34,10.48,2.59,9.81,45611.0,12840.0,3141.0,4.21,1.05,6.93,3.56,72.82,0.0,14.89,32.06,84.74,774.07,2810.0,125.96,5.73,131.68,3715.75,Sandycity,UT
51464.0,2.9,2.53,92.97,3.78,2.04,15.12,26.56,13.98,8.11,51464.0,100.0,52208.0,88.99,0.96,65.08,17.33,1.94,11.43,60709.0,22433.0,2494.0,5.12,3.52,7.8,2.42,70.3,0.0,,16.62,44.33,406.32,1939.24,44.33,5.54,,2395.42,Wheatoncity,IL
22608.0,2.91,0.69,98.03,0.43,1.3,14.36,26.88,12.39,6.34,18750.0,82.94,42549.0,87.81,0.98,44.73,17.54,5.63,13.94,46578.0,16750.0,968.0,4.36,3.75,16.57,6.2,67.54,0.0,,12.92,262.61,675.91,2660.58,202.34,38.75,,3577.58,WhiteLaketownship,MI
14988.0,2.49,9.78,84.1,0.45,2.48,13.84,25.38,12.24,16.31,0.0,0.0,18357.0,65.73,1.51,34.3,33.51,10.04,16.92,22964.0,10377.0,3325.0,23.15,13.83,33.47,9.5,51.29,26.23,72.14,98.37,937.77,1895.21,3003.48,347.56,45.9,1134.5,5292.15,Chickashacity,OK
405390.0,2.49,4.28,75.25,2.2,29.25,15.91,31.47,16.94,11.34,405312.0,99.98,21748.0,76.14,0.59,36.28,25.85,6.58,16.38,27208.0,11184.0,79287.0,20.16,9.36,21.39,8.12,58.52,9.78,69.78,198.68,691.36,1636.29,7128.3,1142.94,36.0,969.6,9943.53,Tucsoncity,AZ
23330.0,2.94,7.36,88.58,2.67,3.69,17.84,34.05,18.86,6.76,14937.0,64.02,41944.0,87.6,0.57,36.52,18.29,3.11,12.87,45986.0,16302.0,927.0,4.35,5.04,18.12,4.1,69.92,4.19,20.94,41.87,184.24,1113.81,2332.3,192.61,29.31,251.24,3668.03,Gallowaytownship,NJ
